央视频道,#genre#
NewTV怡伴健康[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225666/index.m3u8
NewTV怡伴健康[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225666/index.m3u8
卫视频道,#genre#
北京卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
重庆卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
纯享4k[3840*2160][3840*2160],http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8 4K
东方卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
东南卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
广东卫视蓝光[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225742/index.m3u8
广东卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
黑龙江卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
黑龙江卫视蓝光[1920*1080][1920*1080],http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8
江苏卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
江西卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
江西卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
辽宁卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
山东卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
深圳卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
天津卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
天津卫视蓝光[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
云南卫视蓝光[768*576][768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
明星大片[1920*1080][1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225716/index.m3u8
西藏卫视[768*576][768*576],http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
安多卫视[1047*576][1047*576],http://111.20.33.93/TVOD/88888893/224/3221226228/index.m3u8
安徽卫视[1920*1080][1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226196/index.m3u8
安徽卫视[1920*1080][1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226203/index.m3u8
安徽卫视[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
北京卫视[1280*720][1280*720],http://111.40.196.9/PLTV/88888888/224/3221225540/index.m3u8
北京卫视[1920*1080][1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226222/index.m3u8
北京卫视[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225673/index.m3u8
北京卫视[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225673/index.m3u8
北京卫视[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
北京卫视[1920*1080][1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225600/index.m3u8?fmt=ts2hls
北京卫视[1920*1080][1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8
北京卫视[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8
北京卫视[1920*1080][1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8
北京卫视[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8
兵团卫视[1047*576][1047*576],http://111.20.33.93/TVOD/88888893/224/3221226214/index.m3u8
东方卫视[1920*1080][1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226217/index.m3u8
东方卫视[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225658/index.m3u8
